Timestamp;Trend Flags;Status;Value (kW-hr)
01-Aug-19 9:45:17 AM BRT;{ };{ok};3390,34 kW-hr
01-Aug-19 10:00:18 AM BRT;{ };{ok};3391,69 kW-hr
01-Aug-19 10:15:17 AM BRT;{ };{ok};3393,05 kW-hr
01-Aug-19 10:30:17 AM BRT;{ };{ok};3394,37 kW-hr
01-Aug-19 10:45:17 AM BRT;{ };{ok};3395,42 kW-hr
01-Aug-19 11:00:17 AM BRT;{ };{ok};3396,47 kW-hr
01-Aug-19 11:15:17 AM BRT;{ };{ok};3397,53 kW-hr
01-Aug-19 11:30:17 AM BRT;{ };{ok};3398,59 kW-hr
01-Aug-19 11:45:18 AM BRT;{ };{ok};3399,64 kW-hr
01-Aug-19 12:00:17 PM BRT;{ };{ok};3400,72 kW-hr
01-Aug-19 12:15:17 PM BRT;{ };{ok};3401,87 kW-hr
01-Aug-19 12:30:02 PM BRT;{start};{ok};3403,00 kW-hr
01-Aug-19 12:45:19 PM BRT;{ };{ok};3404,14 kW-hr
01-Aug-19 1:00:21 PM BRT;{ };{ok};3405,73 kW-hr
01-Aug-19 1:15:19 PM BRT;{ };{ok};3407,36 kW-hr
01-Aug-19 1:30:19 PM BRT;{ };{ok};3409,00 kW-hr
01-Aug-19 1:45:19 PM BRT;{ };{ok};3410,84 kW-hr
01-Aug-19 2:00:19 PM BRT;{ };{ok};3412,55 kW-hr
01-Aug-19 2:15:18 PM BRT;{ };{ok};3413,97 kW-hr
01-Aug-19 2:30:20 PM BRT;{ };{ok};3415,34 kW-hr
01-Aug-19 2:45:20 PM BRT;{ };{ok};3416,82 kW-hr
01-Aug-19 3:00:19 PM BRT;{ };{ok};3418,51 kW-hr
01-Aug-19 3:15:19 PM BRT;{ };{ok};3419,68 kW-hr
01-Aug-19 3:30:19 PM BRT;{ };{ok};3420,18 kW-hr
01-Aug-19 3:45:20 PM BRT;{ };{ok};3421,54 kW-hr
01-Aug-19 4:00:19 PM BRT;{ };{ok};3422,85 kW-hr
01-Aug-19 4:15:21 PM BRT;{ };{ok};3424,15 kW-hr
