Timestamp;Trend Flags;Status;Value (kW-hr)
01-Aug-19 9:45:16 AM BRT;{ };{ok};3695,21 kW-hr
01-Aug-19 10:00:17 AM BRT;{ };{ok};3695,23 kW-hr
01-Aug-19 10:15:16 AM BRT;{ };{ok};3695,26 kW-hr
01-Aug-19 10:30:16 AM BRT;{ };{ok};3695,28 kW-hr
01-Aug-19 10:45:16 AM BRT;{ };{ok};3695,30 kW-hr
01-Aug-19 11:00:16 AM BRT;{ };{ok};3695,32 kW-hr
01-Aug-19 11:15:16 AM BRT;{ };{ok};3695,34 kW-hr
01-Aug-19 11:30:16 AM BRT;{ };{ok};3695,36 kW-hr
01-Aug-19 11:45:17 AM BRT;{ };{ok};3695,38 kW-hr
01-Aug-19 12:00:16 PM BRT;{ };{ok};3695,41 kW-hr
01-Aug-19 12:15:16 PM BRT;{ };{ok};3695,43 kW-hr
01-Aug-19 12:30:02 PM BRT;{start};{ok};3695,45 kW-hr
01-Aug-19 12:45:18 PM BRT;{ };{ok};3695,47 kW-hr
01-Aug-19 1:00:20 PM BRT;{ };{ok};3695,49 kW-hr
01-Aug-19 1:15:18 PM BRT;{ };{ok};3695,51 kW-hr
01-Aug-19 1:30:18 PM BRT;{ };{ok};3695,53 kW-hr
01-Aug-19 1:45:18 PM BRT;{ };{ok};3695,55 kW-hr
01-Aug-19 2:00:18 PM BRT;{ };{ok};3695,57 kW-hr
01-Aug-19 2:15:17 PM BRT;{ };{ok};3695,60 kW-hr
01-Aug-19 2:30:19 PM BRT;{ };{ok};3695,62 kW-hr
01-Aug-19 2:45:19 PM BRT;{ };{ok};3695,64 kW-hr
01-Aug-19 3:00:18 PM BRT;{ };{ok};3695,66 kW-hr
01-Aug-19 3:15:18 PM BRT;{ };{ok};3695,68 kW-hr
01-Aug-19 3:30:18 PM BRT;{ };{ok};3695,70 kW-hr
01-Aug-19 3:45:20 PM BRT;{ };{ok};3695,72 kW-hr
01-Aug-19 4:00:18 PM BRT;{ };{ok};3695,74 kW-hr
01-Aug-19 4:15:20 PM BRT;{ };{ok};3695,76 kW-hr
01-Aug-19 4:30:19 PM BRT;{ };{ok};3695,79 kW-hr
01-Aug-19 4:45:18 PM BRT;{ };{ok};3695,81 kW-hr
01-Aug-19 5:00:18 PM BRT;{ };{ok};3695,83 kW-hr
