Timestamp;Trend Flags;Status;Value (kW-hr)
01-Aug-19 9:45:39 AM BRT;{ };{ok};4028,35 kW-hr
01-Aug-19 10:00:41 AM BRT;{ };{ok};4028,38 kW-hr
01-Aug-19 10:15:42 AM BRT;{ };{ok};4028,40 kW-hr
01-Aug-19 10:30:41 AM BRT;{ };{ok};4028,42 kW-hr
01-Aug-19 10:45:40 AM BRT;{ };{ok};4028,44 kW-hr
01-Aug-19 11:00:38 AM BRT;{ };{ok};4028,46 kW-hr
01-Aug-19 11:15:40 AM BRT;{ };{ok};4028,48 kW-hr
01-Aug-19 11:30:41 AM BRT;{ };{ok};4028,50 kW-hr
01-Aug-19 11:45:41 AM BRT;{ };{ok};4028,52 kW-hr
01-Aug-19 12:00:41 PM BRT;{ };{ok};4028,54 kW-hr
01-Aug-19 12:15:44 PM BRT;{ };{ok};4028,57 kW-hr
01-Aug-19 12:30:04 PM BRT;{start};{ok};4028,59 kW-hr
01-Aug-19 12:45:41 PM BRT;{ };{ok};4028,61 kW-hr
01-Aug-19 1:00:43 PM BRT;{ };{ok};4028,63 kW-hr
01-Aug-19 1:15:42 PM BRT;{ };{ok};4028,65 kW-hr
01-Aug-19 1:30:41 PM BRT;{ };{ok};4028,67 kW-hr
01-Aug-19 1:45:41 PM BRT;{ };{ok};4028,69 kW-hr
01-Aug-19 2:00:41 PM BRT;{ };{ok};4028,71 kW-hr
01-Aug-19 2:15:40 PM BRT;{ };{ok};4028,74 kW-hr
01-Aug-19 2:30:42 PM BRT;{ };{ok};4028,75 kW-hr
01-Aug-19 2:45:42 PM BRT;{ };{ok};4028,78 kW-hr
01-Aug-19 3:00:42 PM BRT;{ };{ok};4028,80 kW-hr
01-Aug-19 3:15:41 PM BRT;{ };{ok};4028,82 kW-hr
01-Aug-19 3:30:42 PM BRT;{ };{ok};4028,84 kW-hr
01-Aug-19 3:45:43 PM BRT;{ };{ok};4028,86 kW-hr
01-Aug-19 4:00:42 PM BRT;{ };{ok};4028,88 kW-hr
01-Aug-19 4:15:43 PM BRT;{ };{ok};4028,90 kW-hr
01-Aug-19 4:30:43 PM BRT;{ };{ok};4028,92 kW-hr
01-Aug-19 4:45:42 PM BRT;{ };{ok};4028,94 kW-hr
01-Aug-19 5:00:41 PM BRT;{ };{ok};4028,96 kW-hr
01-Aug-19 5:15:41 PM BRT;{ };{ok};4028,98 kW-hr
01-Aug-19 5:30:41 PM BRT;{ };{ok};4029,00 kW-hr
01-Aug-19 5:45:41 PM BRT;{ };{ok};4029,02 kW-hr
01-Aug-19 6:00:42 PM BRT;{ };{ok};4029,04 kW-hr
01-Aug-19 6:15:45 PM BRT;{ };{ok};4029,06 kW-hr
01-Aug-19 6:30:40 PM BRT;{ };{ok};4029,08 kW-hr
01-Aug-19 6:45:41 PM BRT;{ };{ok};4029,10 kW-hr
01-Aug-19 7:00:41 PM BRT;{ };{ok};4029,12 kW-hr
01-Aug-19 7:15:41 PM BRT;{ };{ok};4029,15 kW-hr
01-Aug-19 7:30:42 PM BRT;{ };{ok};4029,17 kW-hr
01-Aug-19 7:45:42 PM BRT;{ };{ok};4029,19 kW-hr
01-Aug-19 8:00:42 PM BRT;{ };{ok};4029,21 kW-hr
01-Aug-19 8:15:41 PM BRT;{ };{ok};4029,23 kW-hr
01-Aug-19 8:30:41 PM BRT;{ };{ok};4029,25 kW-hr
01-Aug-19 8:45:41 PM BRT;{ };{ok};4029,27 kW-hr
01-Aug-19 9:00:41 PM BRT;{ };{ok};4029,29 kW-hr
01-Aug-19 9:15:42 PM BRT;{ };{ok};4029,31 kW-hr
01-Aug-19 9:30:42 PM BRT;{ };{ok};4029,33 kW-hr
01-Aug-19 9:45:42 PM BRT;{ };{ok};4029,35 kW-hr
01-Aug-19 10:00:41 PM BRT;{ };{ok};4029,37 kW-hr
01-Aug-19 10:15:40 PM BRT;{ };{ok};4029,39 kW-hr
01-Aug-19 10:30:40 PM BRT;{ };{ok};4029,42 kW-hr
01-Aug-19 10:45:41 PM BRT;{ };{ok};4029,44 kW-hr
01-Aug-19 11:00:41 PM BRT;{ };{ok};4029,46 kW-hr
01-Aug-19 11:15:41 PM BRT;{ };{ok};4029,48 kW-hr
01-Aug-19 11:30:41 PM BRT;{ };{ok};4029,50 kW-hr
01-Aug-19 11:45:41 PM BRT;{ };{ok};4029,52 kW-hr
02-Aug-19 12:00:41 AM BRT;{ };{ok};4029,54 kW-hr
02-Aug-19 12:15:40 AM BRT;{ };{ok};4029,56 kW-hr
02-Aug-19 12:30:42 AM BRT;{ };{ok};4029,58 kW-hr
02-Aug-19 12:45:42 AM BRT;{ };{ok};4029,60 kW-hr
02-Aug-19 1:00:42 AM BRT;{ };{ok};4029,62 kW-hr
02-Aug-19 1:15:43 AM BRT;{ };{ok};4029,65 kW-hr
02-Aug-19 1:30:41 AM BRT;{ };{ok};4029,67 kW-hr
02-Aug-19 1:45:41 AM BRT;{ };{ok};4029,69 kW-hr
02-Aug-19 2:00:40 AM BRT;{ };{ok};4029,71 kW-hr
02-Aug-19 2:15:41 AM BRT;{ };{ok};4029,73 kW-hr
02-Aug-19 2:30:42 AM BRT;{ };{ok};4029,75 kW-hr
02-Aug-19 2:45:42 AM BRT;{ };{ok};4029,77 kW-hr
02-Aug-19 3:00:41 AM BRT;{ };{ok};4029,79 kW-hr
02-Aug-19 3:15:41 AM BRT;{ };{ok};4029,81 kW-hr
02-Aug-19 3:30:42 AM BRT;{ };{ok};4029,83 kW-hr
02-Aug-19 3:45:40 AM BRT;{ };{ok};4029,85 kW-hr
02-Aug-19 4:00:41 AM BRT;{ };{ok};4029,88 kW-hr
02-Aug-19 4:15:41 AM BRT;{ };{ok};4029,90 kW-hr
02-Aug-19 4:30:40 AM BRT;{ };{ok};4029,92 kW-hr
02-Aug-19 4:45:41 AM BRT;{ };{ok};4029,94 kW-hr
02-Aug-19 5:00:41 AM BRT;{ };{ok};4029,96 kW-hr
02-Aug-19 5:15:41 AM BRT;{ };{ok};4029,98 kW-hr
02-Aug-19 5:30:41 AM BRT;{ };{ok};4030,00 kW-hr
02-Aug-19 5:45:45 AM BRT;{ };{ok};4030,02 kW-hr
02-Aug-19 6:00:43 AM BRT;{ };{ok};4030,04 kW-hr
02-Aug-19 6:16:51 AM BRT;{ };{ok};4030,06 kW-hr
02-Aug-19 6:30:03 AM BRT;{start};{ok};4030,08 kW-hr
02-Aug-19 6:45:40 AM BRT;{ };{ok};4030,10 kW-hr
02-Aug-19 7:00:40 AM BRT;{ };{ok};4030,12 kW-hr
02-Aug-19 7:15:40 AM BRT;{ };{ok};4030,14 kW-hr
02-Aug-19 7:30:40 AM BRT;{ };{ok};4030,16 kW-hr
02-Aug-19 7:45:40 AM BRT;{ };{ok};4030,18 kW-hr
02-Aug-19 8:00:39 AM BRT;{ };{ok};4030,20 kW-hr
02-Aug-19 8:15:40 AM BRT;{ };{ok};4030,22 kW-hr
02-Aug-19 8:30:41 AM BRT;{ };{ok};4030,24 kW-hr
02-Aug-19 8:45:40 AM BRT;{ };{ok};4030,26 kW-hr
02-Aug-19 9:00:41 AM BRT;{ };{ok};4030,28 kW-hr
02-Aug-19 9:15:41 AM BRT;{ };{ok};4030,30 kW-hr
