Timestamp;Trend Flags;Status;Value (kW-hr)
02-Aug-19 6:30:01 AM BRT;{start};{ok};2588,54 kW-hr
02-Aug-19 6:45:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:00:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:15:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:30:15 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:45:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 8:00:16 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 8:15:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 8:30:16 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 8:45:16 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 9:00:16 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 9:15:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 9:30:16 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 9:45:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 10:00:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 10:15:18 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 10:30:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 10:45:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 11:00:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 11:15:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 11:30:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 11:45:17 AM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 12:00:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 12:15:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 12:30:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 12:45:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 1:00:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 1:15:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 1:30:18 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 1:45:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 2:00:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 2:15:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 2:30:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 2:45:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 3:00:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 3:15:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 3:30:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 3:45:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 4:00:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 4:15:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 4:30:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 4:45:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 5:00:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 5:15:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 5:30:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 5:45:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 6:00:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 6:15:19 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 6:30:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 6:45:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:00:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:15:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:30:17 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 7:45:15 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 8:00:15 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 8:15:16 PM BRT;{ };{ok};2588,54 kW-hr
02-Aug-19 8:30:15 PM BRT;{ };{ok};2588,69 kW-hr
02-Aug-19 8:45:15 PM BRT;{ };{ok};2590,09 kW-hr
02-Aug-19 9:00:15 PM BRT;{ };{ok};2591,50 kW-hr
02-Aug-19 9:15:15 PM BRT;{ };{ok};2592,93 kW-hr
02-Aug-19 9:30:15 PM BRT;{ };{ok};2594,35 kW-hr
02-Aug-19 9:45:15 PM BRT;{ };{ok};2595,79 kW-hr
02-Aug-19 10:00:16 PM BRT;{ };{ok};2597,21 kW-hr
02-Aug-19 10:15:15 PM BRT;{ };{ok};2598,55 kW-hr
02-Aug-19 10:30:16 PM BRT;{ };{ok};2599,74 kW-hr
