Timestamp;Trend Flags;Status;Value (kW-hr)
01-Aug-19 9:45:38 AM BRT;{ };{ok};2489,20 kW-hr
01-Aug-19 10:00:40 AM BRT;{ };{ok};2490,24 kW-hr
01-Aug-19 10:15:41 AM BRT;{ };{ok};2491,25 kW-hr
01-Aug-19 10:30:40 AM BRT;{ };{ok};2492,26 kW-hr
01-Aug-19 10:45:39 AM BRT;{ };{ok};2493,29 kW-hr
01-Aug-19 11:00:37 AM BRT;{ };{ok};2494,29 kW-hr
01-Aug-19 11:15:39 AM BRT;{ };{ok};2495,31 kW-hr
01-Aug-19 11:30:38 AM BRT;{ };{ok};2496,31 kW-hr
01-Aug-19 11:45:40 AM BRT;{ };{ok};2497,47 kW-hr
01-Aug-19 12:00:40 PM BRT;{ };{ok};2498,56 kW-hr
01-Aug-19 12:15:42 PM BRT;{ };{ok};2499,59 kW-hr
01-Aug-19 12:30:04 PM BRT;{start};{ok};2500,60 kW-hr
01-Aug-19 12:45:40 PM BRT;{ };{ok};2501,62 kW-hr
01-Aug-19 1:00:42 PM BRT;{ };{ok};2502,72 kW-hr
01-Aug-19 1:15:41 PM BRT;{ };{ok};2503,74 kW-hr
01-Aug-19 1:30:40 PM BRT;{ };{ok};2504,76 kW-hr
01-Aug-19 1:45:40 PM BRT;{ };{ok};2505,79 kW-hr
01-Aug-19 2:00:40 PM BRT;{ };{ok};2506,82 kW-hr
01-Aug-19 2:15:39 PM BRT;{ };{ok};2507,82 kW-hr
01-Aug-19 2:30:41 PM BRT;{ };{ok};2508,83 kW-hr
01-Aug-19 2:45:41 PM BRT;{ };{ok};2509,84 kW-hr
01-Aug-19 3:00:40 PM BRT;{ };{ok};2510,84 kW-hr
01-Aug-19 3:15:40 PM BRT;{ };{ok};2511,84 kW-hr
01-Aug-19 3:30:40 PM BRT;{ };{ok};2512,90 kW-hr
01-Aug-19 3:45:42 PM BRT;{ };{ok};2513,71 kW-hr
01-Aug-19 4:00:40 PM BRT;{ };{ok};2515,00 kW-hr
01-Aug-19 4:15:42 PM BRT;{ };{ok};2516,37 kW-hr
01-Aug-19 4:30:41 PM BRT;{ };{ok};2517,74 kW-hr
01-Aug-19 4:45:40 PM BRT;{ };{ok};2519,09 kW-hr
01-Aug-19 5:00:40 PM BRT;{ };{ok};2520,44 kW-hr
01-Aug-19 5:15:40 PM BRT;{ };{ok};2521,78 kW-hr
